chr1	1	CP068277.2	NC_060925.1
chr2	2	CP068276.2	NC_060926.1
chr3	3	CP068275.2	NC_060927.1
chr4	4	CP068274.2	NC_060928.1
chr5	5	CP068273.2	NC_060929.1
chr6	6	CP068272.2	NC_060930.1
chr7	7	CP068271.2	NC_060931.1
chr8	8	CP068270.2	NC_060932.1
chr9	9	CP068269.2	NC_060933.1
chr10	10	CP068268.2	NC_060934.1
chr11	11	CP068267.2	NC_060935.1
chr12	12	CP068266.2	NC_060936.1
chr13	13	CP068265.2	NC_060937.1
chr14	14	CP068264.2	NC_060938.1
chr15	15	CP068263.2	NC_060939.1
chr16	16	CP068262.2	NC_060940.1
chr17	17	CP068261.2	NC_060941.1
chr18	18	CP068260.2	NC_060942.1
chr19	19	CP068259.2	NC_060943.1
chr20	20	CP068258.2	NC_060944.1
chr21	21	CP068257.2	NC_060945.1
chr22	22	CP068256.2	NC_060946.1
chrX	X	CP068255.2	NC_060947.1
chrY	Y	CP086569.2	NC_060948.1
chrM	MT	CP068254.1	CP068254.1
